author,paper_count
Yang Liu,401
Min Zhang,384
Graham Neubig,324
Zhiyuan Liu,321
Jie Zhou,313
Yue Zhang,311
Maosong Sun,298
Fei Huang,297
Mohit Bansal,288
Xuanjing Huang,288
Yejin Choi,280
Furu Wei,277
Iryna Gurevych,273
Qi Zhang,265
Preslav Nakov,263
Xipeng Qiu,263
Kai-Wei Chang,253
Jianfeng Gao,247
Shinji Watanabe,240
Heng Ji,238
