conference,count
EMNLP,6326
ACL,5694
NAACL,2028
N,1649
ICLR,1537
AAAI,1309
COLING,1182
EACL,950
ICML,765
IJCNLP,343
CVPR,322
IJCAI,255
SIGIR,251
AACL,210
WWW,139
NEURIPS,4
