cluster_id,year,paper_count
0,2017,10
0,2018,26
0,2019,46
0,2020,27
1,2017,13
1,2018,45
1,2019,54
1,2020,37
2,2017,11
2,2018,29
2,2019,26
2,2020,27
3,2017,22
3,2018,59
3,2019,70
3,2020,40
4,2017,15
4,2018,37
4,2019,69
4,2020,35
5,2017,5
5,2018,18
5,2019,52
5,2020,27
